DivisionName,X,Y
WHITEFIELD,77.74846312,12.96672724
VIDHANA SOUDHA,77.57542405,12.97545574
JALAHALLI,77.52203297,13.10396843
RAJAJINAGAR,77.52857634,12.98053097
TIPTUR,76.49300996,13.25269796
KANAKAPURA,77.41727269,12.53318508
R R NAGAR,77.52021025,12.92488015
CHANDAPURA,77.70100397,12.71560352
CHIKKABALAPURA,77.49162508,13.56721035
NELAMANGALA,77.54840132,13.28505426
CHITRADURGA,76.4917188,14.25165747
MADHUGIRI,76.90305552,13.74447218
KGF,78.28602525,13.0437091
KOLAR,78.13377304,13.13819204
RAMANAGARA,77.22797006,12.68633689
YALAHANKA,77.79519256,13.07167259
CHINTHAMANI,78.07893194,13.38430514
DAVANAGERE,75.9161373,14.46133085
HARIHARA,75.88026952,14.57045163
HIRIYUR,76.64365097,14.14411658
MALLESHWARAM,77.5690845,13.01438819
HEBBAL,77.59589507,13.12098872
HSR LAYOUT,77.62510473,12.8815713
JAYANAGARA,77.56597568,12.92030876
KENGERI,77.48181654,12.88053578
KORAMANGALA,77.66896016,12.94348118
PEENYA,77.52138267,13.03623979
INDIRANAGARA,77.67237352,13.00152472
SHIVAJINAGAR,77.64831458,13.03196136
TUMKUR,77.03236304,13.02524581
TUMKUR,77.10565022,13.35485874
KOLAR,78.15828825,13.12791697
